"time","mass.s"
2.12,0.01145233791797528
2.122,0.009663803093770209
2.124,0.007878044077157802
2.126,0.006096178547428907
2.128,0.004319319637361758
2.13,0.002548571333681099
2.132,0.0007850277380584944
2.134,-0.0009702174502958743
2.136,-0.002716090427516279
2.138,-0.004451529262266494
2.14,-0.006175482277105777
2.142,-0.00788691059176095
2.144,-0.009584785966823921
2.146,-0.01126809196899392
2.148,-0.01293583276373453
2.15,-0.0145870249130747
2.152,-0.01622070072146892
2.154,-0.01783590867305542
2.156,-0.01943170726115588
2.158,-0.02100718147940413
2.16,-0.02256143094256895
2.162,-0.02409357384231011
2.164,-0.02560274756237622
2.166,-0.02708810036085857
2.168,-0.02854880523445258
2.17,-0.02998405990277353
2.172,-0.03139307987173766
2.174,-0.03277510207173003
2.176,-0.03412938061956052
2.178,-0.03545518089597163
2.18,-0.03675181003818401
2.182,-0.03801858983543747
2.184,-0.03925486510309796
2.186,-0.04046000414601553
2.188,-0.04163338137916801
2.19,-0.04277441499160325
2.192,-0.04388254210960982
2.194,-0.04495722297475368
2.196,-0.04599794249180103
2.198,-0.04700420276186899
2.2,-0.04797553106479575
2.202,-0.04891148869761684
2.204,-0.0498116576851085
2.206,-0.05067564566534791
2.208,-0.05150308391936101
2.21,-0.05229361576738058
2.212,-0.05304693077976763
2.214,-0.0537627366185174
2.216,-0.05444076708289618
2.218,-0.05508078233896625
2.22,-0.05568255243526249
2.222,-0.05624588806736856
2.224,-0.05677062677258571
2.226,-0.05725662907597818
2.228,-0.05770378173035971
2.23,-0.05811199011537295
2.232,-0.05848117947454757
2.234,-0.05881131764666953
2.236,-0.05910239060571112
2.238,-0.05935440995865437
2.24,-0.05956741246600916
2.242,-0.05974144148355415
2.244,-0.05987659005671164
2.246,-0.05997296696867593
2.248,-0.06003070575386002
2.25,-0.06004996465220939
2.252,-0.06003091573065442
2.254,-0.05997376078516294
2.256,-0.05987873079654127
2.258,-0.05974607651856262
2.26,-0.05957607215299807
2.262,-0.05936901100828357
2.264,-0.05912519943004631
2.266,-0.05884498359214238
2.268,-0.05852872459225564
2.27,-0.05817680532958044
2.272,-0.0577896303030582
2.274,-0.05736760868533516
2.276,-0.0569111888915547
2.278,-0.05642083488356227
2.28,-0.05589702927748141
2.282,-0.05534027420404923
2.284,-0.05475108362290237
2.286,-0.0541299900931431
2.288,-0.05347755275222697
2.29,-0.05279434391944312
2.292,-0.05208095312446392
2.294,-0.05133798521431568
2.296,-0.05056605164573957
2.298,-0.0497657937511377
2.3,-0.04893786260066776
2.302,-0.04808292402794198
2.304,-0.04720165822702342
2.306,-0.04629475109348458
2.308,-0.04536290883947434
2.31,-0.04440685080353099
2.312,-0.04342730691676884
2.314,-0.04242501881688534
2.316,-0.0414007360439529
2.318,-0.04035521597264951
2.32,-0.03928923337304082
2.322,-0.03820356913021303
2.324,-0.03709901303038953
2.326,-0.03597636308753024
2.328,-0.03483641783099323
2.33,-0.03367999246474945
2.332,-0.03250790524719405
2.334,-0.03132098046300315
2.336,-0.03012004789847985
2.338,-0.02890593970051813
2.34,-0.02767949367459939
2.342,-0.02644155270474646
2.344,-0.02519296191594667
2.346,-0.02393456906149375
2.348,-0.02266722360614251
2.35,-0.02139177563408187
2.352,-0.02010907773792152
2.354,-0.01881998224272896
2.356,-0.01752534129260951
2.358,-0.01622600630028361
2.36,-0.0149228275827019
2.362,-0.01361665342495068
2.364,-0.01230832978870321
2.366,-0.01099869972691761
2.368,-0.009688602821094584
2.37,-0.008378875636931835
2.372,-0.007070350234672083
2.374,-0.005763852460408796
2.376,-0.004460203206588532
2.378,-0.003160217269747956
2.38,-0.001864703365389799
2.382,-0.000574466698619018
2.384,0.0007097003003098894
2.386,0.001987011219225721
2.388,0.003256688184190825
2.39,0.004517962379698939
2.392,0.005770069254577724
2.394,0.007012258667061602
2.396,0.008243791130521526
2.398,0.009463936888253302
2.4,0.01067197742961603
2.402,0.01186720297051278
2.404,0.01304891319896329
2.406,0.01421642694084148
2.408,0.01536907278133581
2.41,0.01650619249797139
2.412,0.01762714129058728
2.414,0.01873127832920314
2.416,0.01981798995900989
2.418,0.02088667223696574
2.42,0.02193673610761752
2.422,0.02296760781060656
2.424,0.02397872229112482
2.426,0.02496953375187316
2.428,0.02593951608803913
2.43,0.02688815697214341
2.432,0.0278149607366203
2.434,0.02871944581057028
2.436,0.02960114060946023
2.438,0.03045960330450315
2.44,0.03129440441607416
2.442,0.03210513217655474
2.444,0.0328913928312812
2.446,0.03365279818113456
2.448,0.03438899225732101
2.45,0.03509963403921026
2.452,0.0357844000138873
2.454,0.03644298535753407
2.456,0.03707509742933467
2.458,0.03768046220563244
2.46,0.03825883255798759
2.462,0.03880997614397536
2.464,0.03933367967843038
2.466,0.03982974738468759
2.468,0.04029799115235971
2.47,0.04073825861392767
2.472,0.04115041003160721
2.474,0.04153432478886629
2.476,0.04188990150411783
2.478,0.04221704696743527
2.48,0.04251569640780305
2.482,0.04278580481698727
2.484,0.04302734386670272
2.486,0.04324030415822389
2.488,0.0434246902511386
2.49,0.0435805209915681
2.492,0.04370784519974106
2.494,0.04380672499862364
2.496,0.04387724084104787
2.498,0.0439194912168419
2.5,0.04393357854396839
2.502,0.04391964141146067
2.504,0.04387782919912513
2.506,0.04380830874708401
2.508,0.04371126427849302
2.51,0.04358688919589574
2.512,0.04343539769354326
2.514,0.04325702491800793
2.516,0.04305201938689183
2.518,0.04282064582843451
2.52,0.04256318225294907
2.522,0.04227991537126641
2.524,0.04197115940733379
2.526,0.0416372386752145
2.528,0.04127849230847828
2.53,0.04089527406965424
2.532,0.04048794169077188
2.534,0.0400568782611513
2.536,0.03960247774982949
2.538,0.03912514655802749
2.54,0.03862530408014569
2.542,0.03810337772018321
2.544,0.03755980692340041
2.546,0.03699504877043819
2.548,0.03640956891112423
2.55,0.03580384419553827
2.552,0.03517836138830856
2.554,0.03453361086605139
2.556,0.03387010297057146
2.558,0.03318835386012867
2.56,0.03248888897960123
2.562,0.03177224273759308
2.564,0.03103895287396796
2.566,0.0302895696679762
2.568,0.02952465153569559
2.57,0.02874476311365496
2.572,0.02795047597035553
2.574,0.02714236641549251
2.576,0.02632101519334543
2.578,0.02548701297401329
2.58,0.02464095378579765
2.582,0.02378343650809851
2.584,0.02291506442983488
2.586,0.02203644112144315
2.588,0.02114817860978431
2.59,0.02025089028446306
2.592,0.0193451922891849
2.594,0.01843170312786675
2.596,0.01751104206364423
2.598,0.01658383044754283
2.6,0.01565069139082808
2.602,0.01471224823232457
2.604,0.01376912458415325
2.606,0.01282194387416479
2.608,0.01187132885236849
2.61,0.01091790156864749
2.612,0.00996228262411959
2.614,0.009005090865739513
2.616,0.008046942982551389
2.618,0.007088454408007109
2.62,0.006130236232075307
2.622,0.0051728965621955
2.624,0.004217039915936206
2.626,0.003263266719834328
2.628,0.002312174312202729
2.63,0.001364355308972536
2.632,0.0004203954286954599
2.634,-0.0005191242564720268
2.636,-0.001453628577309328
2.638,-0.002382548140400699
2.64,-0.003305316525360472
2.642,-0.004221379420729952
2.644,-0.005130187729574151
2.646,-0.006031199923600708
2.648,-0.006923882407599237
2.65,-0.007807705437562695
2.652,-0.00868215143037439
2.654,-0.00954671199285567
2.656,-0.01040088688847429
2.658,-0.0112441852847017
2.66,-0.01207612367836578
2.662,-0.01289622622258223
2.664,-0.01370403290683084
2.666,-0.01449909160533393
2.668,-0.01528096087475452
2.67,-0.01604921014017285
2.672,-0.01680341166852696
2.674,-0.01754315980908957
2.676,-0.0182680564510452
2.678,-0.01897771523885597
2.68,-0.01967176184306011
2.682,-0.02034982874560986
2.684,-0.02101156327507444
2.686,-0.02165662832033013
2.688,-0.02228469731552478
2.69,-0.02289545653784999
2.692,-0.02348860318620031
2.694,-0.02406384190841185
2.696,-0.02462090025215139
2.698,-0.02515951509243063
2.7,-0.02567943673795338
2.702,-0.02618042911858881
2.704,-0.02666226053781634
2.706,-0.02712472319311187
2.708,-0.02756762074397115
2.71,-0.02799076986932649
2.712,-0.02839400118536615
2.714,-0.02877715445695813
2.716,-0.02914008300629609
2.718,-0.02948266030952943
2.72,-0.02980477066045078
2.722,-0.030106312377445
