"time","transferFunction.y","mass.s"
7.02,0.9386815185736507,0.9386815185735992
7.03,0.9387514523454595,0.9387514523454074
7.04,0.9388462045832336,0.9388462045831812
7.05,0.9389636722158146,0.9389636722157633
7.06,0.9391014464637583,0.9391014464637091
7.07,0.9392568584907179,0.9392568584906711
7.08,0.9394270280268741,0.9394270280268305
7.09,0.9396089137106974,0.9396089137106579
7.1,0.9397993649461165,0.9397993649460817
7.11,0.9399951742020421,0.9399951742020128
7.12,0.9401931288480398,0.9401931288480155
7.13,0.940390061812417,0.9403900618123988
7.14,0.9405829003088872,0.9405829003088746
7.15,0.9407687118205905,0.9407687118205841
7.16,0.9409447467706713,0.9409447467706709
7.17,0.9411084772928814,0.9411084772928866
7.18,0.9412576314732874,0.9412576314732986
7.19,0.9413902228115414,0.9413902228115579
7.2,0.9415045744073667,0.9415045744073883
7.21,0.9415993370986369,0.9415993370986629
7.22,0.9416735031722799,0.9416735031723101
7.23,0.9417264152936614,0.9417264152936953
7.24,0.9417577656517455,0.941757765651782
7.25,0.9417675947081683,0.9417675947082073
7.26,0.9417562806649236,0.9417562806649642
7.27,0.9417245211157859,0.9417245211158278
7.28,0.9416733201809867,0.9416733201810287
7.29,0.9416039641636695,0.9416039641637112
7.3,0.9415179921862586,0.9415179921862992
7.31,0.9414171668094878,0.9414171668095266
7.32,0.9413034409377188,0.9413034409377554
7.33,0.9411789221824881,0.9411789221825219
7.34,0.9410458358474652,0.9410458358474955
7.35,0.9409064870842022,0.9409064870842287
7.36,0.9407632226693353,0.9407632226693575
7.37,0.9406183930202719,0.9406183930202902
7.38,0.9404743151435091,0.9404743151435226
7.39,0.9403332370209709,0.9403332370209797
7.4,0.9401973039303377,0.9401973039303415
7.41,0.9400685272500918,0.9400685272500909
7.42,0.9399487561217066,0.9399487561217011
7.43,0.9398396523450019,0.9398396523449919
7.44,0.9397426688937006,0.9397426688936864
7.45,0.9396590324409888,0.939659032440971
7.46,0.9395897294576586,0.9395897294576373
7.47,0.9395354958962988,0.9395354958962742
7.48,0.9394968129376002,0.9394968129375729
7.49,0.9394739048817888,0.9394739048817593
7.5,0.9394667423970112,0.9394667423969801
7.51,0.9394750486552698,0.9394750486552375
7.52,0.939498311937264,0.9394983119372311
7.53,0.9395357976005723,0.9395357976005393
7.54,0.93958656464518,0.9395865646451473
7.55,0.9396494860040876,0.9396494860040557
7.56,0.9397232716277509,0.9397232716277205
7.57,0.9398064927191891,0.9398064927191606
7.58,0.9398976071076914,0.9398976071076651
7.59,0.9399949868026763,0.9399949868026527
7.6,0.9400969449666786,0.9400969449666582
7.61,0.9402017645086058,0.9402017645085883
7.62,0.9403077258967104,0.9403077258966964
7.63,0.9404131339485075,0.9404131339484968
7.64,0.9405163442936605,0.9405163442936536
7.65,0.9406157874900083,0.9406157874900047
7.66,0.9407099921576966,0.9407099921576968
7.67,0.9407976057020636,0.9407976057020671
7.68,0.9408774124819034,0.9408774124819105
7.69,0.9409483499304033,0.9409483499304132
7.7,0.9410095209923228,0.9410095209923358
7.71,0.9410602046528157,0.9410602046528311
