"time","transferFunction.y"
4.812,7.263551524847641
4.824,7.290495713725607
4.836,7.316390160670835
4.848,7.341231091887184
4.86,7.365014932462087
4.872,7.387738271336184
4.884,7.409397836704796
4.896,7.429990511524261
4.908,7.449513334245443
4.92,7.467963499547248
4.932,7.485338283191088
4.944,7.501635218608826
4.956,7.516851961842898
4.968,7.53098632312985
4.98,7.544036270239713
4.992,7.555999929066246
5.004,7.566875572051046
5.016,7.576661575890876
5.028,7.585356569973044
5.04,7.592959303157107
5.052,7.599468683056514
5.064,7.604883776481235
5.076,7.609203809880379
5.088,7.612428139853816
5.1,7.614556268474272
5.112,7.615587920341437
5.124,7.615522948607858
5.136,7.614361365875368
5.148,7.61210334448707
5.16,7.608749216819338
5.172,7.604299425168142
5.184,7.598754605253542
5.196,7.59211557668092
5.208,7.584383297860424
5.22,7.575558886229143
5.232,7.565643618390759
5.244,7.554638930255139
5.256,7.542546343691283
5.268,7.529367628374406
5.28,7.515104691009562
5.292,7.499759588456998
5.304,7.483334535066396
5.316,7.465831902663316
5.328,7.44725421299223
5.34,7.42760407638472
5.352,7.40688436622013
5.364,7.385098068252441
5.376,7.362248323247026
5.388,7.33833842681396
5.4,7.313371829241305
5.412,7.287352110845108
5.424,7.260282977482468
5.436,7.232168362400711
5.448,7.203012316653715
5.46,7.172819042722866
5.472,7.141592894198157
5.484,7.109338375459298
5.496,7.076060098117263
5.508,7.041762840825451
5.52,7.006451567407749
5.532,6.970131365610413
5.544,6.932807469955169
5.556,6.894485261270124
5.568,6.855170266220716
5.58,6.814868093368359
5.592,6.773584563635661
5.604,6.731325634940949
5.616,6.688097395808502
5.628,6.643906075850273
5.64,6.598758045149737
5.652,6.552659811142678
5.664,6.505617945749155
5.676,6.457639266396932
5.688,6.40873068425841
5.7,6.358899245668911
5.712,6.308152131367507
5.724,6.256496655737832
5.736,6.203940248861391
5.748,6.150490435047297
5.76,6.096154945857476
5.772,6.040941608051644
5.784,5.984858376056282
5.796,5.927913331067405
5.808,5.870114680153405
5.82,5.81147072276439
5.832,5.75198988427173
5.844,5.691680754976233
5.856,5.630552022003433
5.868,5.568612491745657
5.88,5.505871088832739
5.892,5.44233685510266
5.904,5.378018900301041
5.916,5.312926492699362
5.928,5.247069020068409
5.94,5.180455968608374
5.952,5.113096934540602
5.964,5.045001622952819
5.976,4.976179846644481
5.988,4.906641461295303
6,4.836396513332308
6.012,4.76545512135346
6.024,4.693827503705015
6.036,4.621523978727203
6.048,4.548554963481696
6.06,4.474930962670289
6.072,4.400662538219801
6.084,4.325760414256971
6.096,4.250235378542634
6.108,4.174098309474769
6.12,4.097360174706541
6.132,4.020032029764431
6.144,3.942124995905637
6.156,3.863650271435749
6.168,3.784619177788653
6.18,3.705043097299971
6.192,3.624933491667254
6.204,3.544301900467795
6.216,3.463159939676359
6.228,3.381519269386166
6.24,3.299391644652229
6.252,3.216788904455595
6.264,3.133722945404148
6.276,3.050205731625324
6.288,2.966249293193301
6.3,2.881865724556282
6.312,2.797067143654204
6.324,2.711865777888337
6.336,2.626273900723624
6.348,2.540303839107112
6.36,2.453967975178337
6.372,2.367278744616425
6.384,2.280248631092455
6.396,2.192890138463981
6.408,2.105215866075477
6.42,2.017238440051486
6.432,1.928970530705817
6.444,1.840424850819347
6.456,1.751614153917728
6.468,1.662551222766554
6.48,1.573248867547484
6.492,1.483719961021995
6.504,1.393977396260061
6.516,1.304034097544017
6.528,1.213903018588378
6.54,1.123597140759605
6.552,1.033129457572745
6.564,0.9425129928284577
6.576,0.8517608026969107
6.588,0.7608859562295589
6.6,0.6699015404834612
6.612,0.5788206586948081
6.624,0.4876564284525713
6.636,0.3964219647773269
6.648,0.3051304099059856
6.66,0.2137949125225806
6.672,0.1224286254510428
6.684,0.03104470617677641
6.696,-0.06034368501387881
6.708,-0.1517233874236354
6.72,-0.2430812523967042
6.732,-0.3344041179424394
6.744,-0.4256788334246601
6.756,-0.5168922550509845
6.768,-0.6080312477552873
6.78,-0.6990826870802603
6.792,-0.7900334623164934
6.804,-0.8808704795697253
6.816,-0.9715806561102248
6.828,-1.062150929749756
6.84,-1.152568258471857
6.852,-1.242819622323904
6.864,-1.332892025309077
6.876,-1.422772496522174
6.888,-1.51244809290027
6.9,-1.601905901898227
6.912,-1.69113304193786
6.924,-1.780116664809353
6.936,-1.868843957560277
6.948,-1.957302144384685
6.96,-2.045478482427316
6.972,-2.133360275454178
6.984,-2.220934870404552
6.996,-2.30818965720227
7.008,-2.395112072111798
7.02,-2.481689599611914
7.032,-2.567909774269338
7.044,-2.653760167298754
7.056,-2.739228424611952
7.068,-2.824302239644836
7.08,-2.908969362803727
7.092,-2.993217603492365
7.104,-3.077034831957829
7.116,-3.16040897726433
7.128,-3.243328019474441
